"","decade","n"
"1","1800",1
"2","1810",1
"3","1830",1
"4","1850",3
"5","1870",49
"6","1880",1590
"7","1890",1099
"8","1900",1092
"9","1910",1113
"10","1920",1336
"11","1930",814
"12","1940",802
"13","1950",566
"14","1960",248
"15","1970",122
"16","1980",125
"17","1990",77
"18","2000",27
"19","2010",81
"20","2020",10
