"","cur_genus","n"
"1","Basidiophora",149
"2","Benua",63
"3","Bremia",438
"4","Hyaloperonospora",963
"5","Paraperonospora",52
"6","Peronosclerospora",7
"7","Peronospora",3852
"8","Plasmopara",2880
"9","Plasmoverna",338
"10","Pseudoperonospora",394
"11","Sclerophthora",71
"12","Sclerospora",213
