"","decade","n"
"1","1800",1
"2","1810",1
"3","1830",1
"4","1850",3
"5","1860",1
"6","1870",49
"7","1880",1593
"8","1890",1130
"9","1900",1098
"10","1910",1164
"11","1920",1380
"12","1930",901
"13","1940",881
"14","1950",631
"15","1960",270
"16","1970",124
"17","1980",136
"18","1990",79
"19","2000",28
"20","2010",87
"21","2020",11
