"","institution_code","catalog_number","basis_of_record","cur_genus","cur_epithet","cur_scientific_name","recorded_by","record_number","year","month","day","decade","cur_host","host_family","cultivated","native_status","cultivated_native","continent","country","state_province","decimal_latitude","decimal_longitude","geodetic_datum","coordinate_uncertainty_in_meters","climatic_zone"
"6433","ILL","ILL00096055","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","G P Clinton","27528",1890,9,26,1890,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Illinois",40.110588,-88.20727,"WGS84",5592,NA
"6434","ILL","ILL00096053","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","G P Clinton","115824",1894,6,25,1890,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Illinois",40.054753,-88.251716,"WGS84",3994,NA
"6435","ILL","ILL00096040","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","G P Clinton","25929",1896,9,8,1890,"Vitis aestivalis","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Illinois",40.110588,-88.20727,"WGS84",5592,NA
"6436","ILL","ILL00096043","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","G P Clinton","25925",1896,9,8,1890,"Vitis cinerea","Vitaceae","wild","native","wild-native","North America","United States of America","Illinois",40.110588,-88.20727,"WGS84",5592,NA
"6437","ILL","ILL00096041","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","G P Clinton","25930",1896,9,8,1890,"Vitis cordifolia","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Illinois",40.110588,-88.20727,"WGS84",5592,NA
"6438","ILL","ILL00096042","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","G P Clinton","25931",1896,9,8,1890,"Vitis labrusca","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Illinois",40.110588,-88.20727,"WGS84",5592,NA
"6439","ILL","ILL00096058","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","G P Clinton","25924",1896,9,8,1890,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Illinois",40.110588,-88.20727,"WGS84",5592,NA
"6440","ILL","ILL00096037","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","G P Clinton","25926",1896,9,8,1890,"Vitis x doaniana","Vitaceae","wild","native","wild-native","North America","United States of America","Illinois",40.11642,-88.243383,"WGS84",7338,NA
"6441","ILL","ILL00096057","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","G P Clinton","27121",1897,9,3,1890,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Illinois",40.110588,-88.20727,"WGS84",5592,NA
"6442","BPI","BPI 785186","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","G P Clinton",NA,1900,10,4,1900,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Massachusetts",42.30982,-71.12033,NA,3036,NA
