"","institution_code","catalog_number","basis_of_record","cur_genus","cur_epithet","cur_scientific_name","recorded_by","record_number","year","month","day","decade","cur_host","host_family","cultivated","native_status","cultivated_native","continent","country","state_province","decimal_latitude","decimal_longitude","geodetic_datum","coordinate_uncertainty_in_meters","climatic_zone"
"7573","BPI","BPI 865329","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","W A Orton",NA,NA,NA,NA,NA,"Cucumis melo","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","North Carolina",36.120156,-77.375524,NA,3036,NA
"7574","NEB","NEB00064751","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","W A Orton",NA,NA,NA,NA,NA,"Cucumis melo","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","South Carolina",32.776566,-79.930922,"WGS84",23749,NA
"7575","BPI","BPI 785887","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","W D Valleau",NA,1950,9,NA,1950,"Cucumis melo","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","Kentucky",37.988689,-84.477715,NA,3036,NA
"7576","BPI","BPI 785741","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","W F Jeffers",NA,1950,6,NA,1950,"Cucumis sativus","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","Maryland",38.360674,-75.599369,NA,6757,NA
"7577","CUP","CUP-003808","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","W Gilbert",NA,1909,8,NA,1900,"Citrullus lanatus","Cucurbitaceae","wild","non-native","wild-non-native","North America","United States of America","South Carolina",34.395111,-81.121229,NA,38730,NA
"7578","BPI","BPI 785822","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","W H Neumeister",NA,1913,2,8,1910,"Cucumis sativus","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","Florida",27.767806,-80.601444,NA,4409,NA
"7579","NEB","NEB00066875","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","W J Morse",NA,1905,8,28,1900,"Cucumis sativus","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","Maine",44.883125,-68.671977,"WGS84",15067,NA
"7580","BPI","BPI 785756","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","W J Morse",NA,1906,8,28,1900,"Cucumis sativus","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","Maine",44.883125,-68.671977,NA,4982,NA
"7581","MSC","MSC0218410","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","W T Swingle","1946",1891,9,20,1890,"Cucumis sativus","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","Maryland",39.0379935714286,-77.0931442857143,"WGS84",1022.28571428571,NA
"7582","BPI","BPI 785866","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","W T Swingle","1946",1891,9,20,1890,"Cucumis sp","Cucurbitaceae",NA,NA,NA,"North America","United States of America","Maryland",39.038165,-77.093034,NA,1046,NA
"7583","ILL","ILL00096075","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","W T Swingle","1758",1908,8,8,1900,"Cucumis sativus","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","North Carolina",35.750694,-80.317831,"WGS84",3036,NA
"7584","BPI","BPI 785815","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","W W Gilbert",NA,1900,10,1,1900,"Cucumis sativus","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","Michigan",42.270872,-83.726329,NA,7236,NA
