Genus	Specific Epithet	Name	Host family	Hosts	Type Host Species Name	Mycorrhizae	Tree	Deciduous_Evergreen	Photosynthesis		
Hyaloperonospora	cheiranthi	Hyaloperonospora cheiranthi	Brassicaceae	Cheiranthus cheiri	Cheiranthus cheiri		No	NA	C3		
Hyaloperonospora	chorisporae	Hyaloperonospora chorisporae	Brassicaceae	Chorispora tenella (Pallas)	Chorispora tenella		No	NA	C3		
Hyaloperonospora	cochleariae	Hyaloperonospora cochleariae	Brassicaceae	Cochlearia danica	Cochlearia danica		No	NA	C3		
Hyaloperonospora	conringiae	Hyaloperonospora conringiae	Brassicaceae	Conringia orientalis	Conringia orientalis		No	NA	C3		
Hyaloperonospora	crambes	Hyaloperonospora crambes	Brassicaceae	Crambes maritima	Crambe maritima		No	NA	C3		
Hyaloperonospora	cryptosporae	Hyaloperonospora cryptosporae	Brassicaceae	Cryptospora falcate	Cryptospora falcate		No	NA	C3		
Hyaloperonospora	daughtreyae	Hyaloperonospora daughtreyae	Cleomaceae	Tarenaya hassleriana	Tarenaya hassleriana		No	NA	C3		
Hyaloperonospora	dentariae	Hyaloperonospora dentariae	Brassicaceae	Cardamine heptaphylla	Cardamine heptaphylla		No	NA	C3		
Hyaloperonospora	dentariae-macrophyllae	Hyaloperonospora dentariae-macrophyllae	Brassicaceae	Cardamine leucantha	Cardamine leucantha		No	NA	C3		
Hyaloperonospora	desertorum	Hyaloperonospora desertorum	Brassicaceae	Alyssum desertorum	Alyssum desertorum		No	NA	C3		
Hyaloperonospora	diplotaxidis	Hyaloperonospora diplotaxidis	Brassicaceae	Diplotaxis tenuifolia	Diplotaxis tenuifolia		No	NA	C3		
Hyaloperonospora	diptychocarpi	Hyaloperonospora diptychocarpi	Brassicaceae	Diptychocarpus strictus	Diptychocarpus strictus		No	NA	C3		
Hyaloperonospora	drabae	Hyaloperonospora drabae	Brassicaceae	Draba reptans	Draba reptans		No	NA	C3		
Hyaloperonospora	eigii	Hyaloperonospora eigii	Brassicaceae	Leptaleum filifolium	Leptaleum filifolium		No	NA	C3		
Hyaloperonospora	erophilae	Hyaloperonospora erophilae	Brassicaceae	Draba verna	Draba verna		No	NA	C3		
Hyaloperonospora	erucae	Hyaloperonospora erucae	Brassicaceae	Eruca sativa	Eruca sativa		No	NA	C3		
Hyaloperonospora	erucastri	Hyaloperonospora erucastri	Brassicaceae	Erucastrum gallicum	Erucastrum gallicum		No	NA	C3		
Hyaloperonospora	erysimi	Hyaloperonospora erysimi	Brassicaceae	"Erysimum crepidifolium, E. cheiranthoides, E. hieracifolium, E. repandum"	Erysimum crepidifolium		No	NA	C3		
Hyaloperonospora	euclidii	Hyaloperonospora euclidii	Brassicaceae	Euclidium syriacum	Euclidium syriacum		No	NA	C3		
Hyaloperonospora	floerkeae	Hyaloperonospora floerkeae	Limnanthaceae	Floerkea proserpinacoides	Floerkea proserpinacoides		No	NA	C3		
Hyaloperonospora	galligena	Hyaloperonospora galligena	Brassicaceae	Alyssum saxatile	Alyssum saxatile		No	NA	C3		
Hyaloperonospora	gaumanniana	Hyaloperonospora gaumanniana	Brassicaceae	Berteroa mutabilis	Berteroa mutabilis		No	NA	C3		
Hyaloperonospora	goldbachiae	Hyaloperonospora goldbachiae	Brassicaceae	Goldbachia laevigata	Goldbachia laevigata		No	NA	C3		
Hyaloperonospora	golovinii	Hyaloperonospora golovinii	Brassicaceae	Tetracme recurvata	Tetracme recurvata		No	NA	C3		
Hyaloperonospora	heliophilae	Hyaloperonospora heliophilae	Brassicaceae	Heliophila deserticola	Heliophila deserticola		No	NA	C3		
Hyaloperonospora	hesperidis	Hyaloperonospora hesperidis	Brassicaceae	Hesperis matronalis	Hesperis matronalis		No	NA	C3		
Hyaloperonospora	hornungiae	Hyaloperonospora hornungiae	Brassicaceae	Hornungia petraea	Hornungia petraea		No	NA	C3		
Hyaloperonospora	hymenolobi	Hyaloperonospora hymenolobi	Brassicaceae	Hornungia procumbens (Hymenolobus procumbens)	Hornungia procumbens		No	NA	C3		
Hyaloperonospora	iberidis	Hyaloperonospora iberidis	Brassicaceae	Iberis amara	Iberis amara		No	NA	C3		
Hyaloperonospora	iranica	Hyaloperonospora iranica	Brassicaceae	Conringia planisiliqua	Conringia planisiliqua		No	NA	C3		
Hyaloperonospora	isatidis	Hyaloperonospora isatidis	Brassicaceae	Isatis tinctoria	Isatis tinctoria		No	NA	C3		
Hyaloperonospora	jordanovii	Hyaloperonospora jordanovii	Brassicaceae	Brassica jordanoffii	Brassica jordanoffii		No	NA	C3		
Hyaloperonospora	lepidii-perfoliati	Hyaloperonospora lepidii-perfoliati	Brassicaceae	Lepidium perfoliatum	Lepidium perfoliatum		No	NA	C3		
Hyaloperonospora	leptalei	Hyaloperonospora leptalei	Brassicaceae	Leptaleum filifolium	Leptaleum filifolium		No	NA	C3		
Hyaloperonospora	litwinowiae	Hyaloperonospora litwinowiae	Brassicaceae	Litwinowia tenuissima	Litwinowia tenuissima		No	NA	C3		
Hyaloperonospora	lobulariae	Hyaloperonospora lobulariae	Brassicaceae	Lobularia maritima	Lobularia maritima		No	NA	C3		
Hyaloperonospora	lunariae	Hyaloperonospora lunariae	Brassicaceae	Lunaria annua	Lunaria annua		No	NA	C3		
Hyaloperonospora	malcolmiae	Hyaloperonospora malcolmiae	Brassicaceae	Malcolmia africana	Malcolmia africana		No	NA	C3		
Hyaloperonospora	malyi	Hyaloperonospora malyi	Brassicaceae	Cardamine graeca	Cardamine graeca		No	NA	C3		
Hyaloperonospora	matthiolae	Hyaloperonospora matthiolae	Brassicaceae	Matthiola incana	Matthiola incana		No	NA	C3		
Hyaloperonospora	menioci	Hyaloperonospora menioci	Brassicaceae	Alyssum linifolium (Meniocus linifolius)	Alyssum linifolium		No	NA	C3		
Hyaloperonospora	myagri	Hyaloperonospora myagri	Brassicaceae	Myagrum perfoliatum	Myagrum perfoliatum		No	NA	C3		
Hyaloperonospora	nasturtii-aquatici	Hyaloperonospora nasturtii-aquatici	Brassicaceae	Nasturtium officinale	Nasturtium officinale		No	NA	C3		
Hyaloperonospora	nasturtii-montani	Hyaloperonospora nasturtii-montani	Brassicaceae	Rorippa indica	Rorippa indica		No	NA	C3		
Hyaloperonospora	nasturtii-palustris	Hyaloperonospora nasturtii-palustris	Brassicaceae	Rorippa palustris (Nasturtium palustre)	Rorippa palustris		No	NA	C3		
Hyaloperonospora	nesliae	Hyaloperonospora nesliae	Brassicaceae	Neslia paniculata	Neslia paniculata		No	NA	C3		
Hyaloperonospora	niessliana	Hyaloperonospora niessliana	Brassicaceae	Alliara petiolata	Alliaria petiolata		No	NA	C3		
Hyaloperonospora	norvegica	Hyaloperonospora norvegica	Brassicaceae	Draba daurica	Draba daurica		No	NA	C3		
Hyaloperonospora	pachyphragmatis-macrophylli	Hyaloperonospora pachyphragmatis-macrophylli	Brassicaceae	Thlaspi macrophyllum (Pachyphragma macrophyllum)	Thlaspi macrophyllum		No	NA	C3		
Hyaloperonospora	parasitica	Hyaloperonospora parasitica	Brassicaceae	Capsella bursa-pastoris	Capsella bursa-pastoris		No	NA	C3		
Hyaloperonospora	praecox	Hyaloperonospora praecox	Brassicaceae	Draba verna	Draba verna		No	NA	C3		
Hyaloperonospora	rapistri	Hyaloperonospora rapistri	Brassicaceae	Rapistrum rugosum	Rapistrum rugosum		No	NA	C3		
Hyaloperonospora	rhaetica	Hyaloperonospora rhaetica	Brassicaceae	Sisymbrium strictissimum	Sisymbrium strictissimum		No	NA	C3		
Hyaloperonospora	rorippae-islandicae	Hyaloperonospora rorippae-islandicae	Brassicaceae	Rorippa islandica	Rorippa islandica		No	NA	C3		
Hyaloperonospora	simonianii	Hyaloperonospora simonianii	Brassicaceae	Alyssum trichostachycum	Alyssum trichostachycum		No	NA	C3		
Hyaloperonospora	sisymbrii-intermedii	Hyaloperonospora sisymbrii-intermedii	Brassicaceae	"P. parasitica, Sisymbrium intermedium"	Sisymbrium intermedium		No	NA	C3		
Hyaloperonospora	sisymbrii-loeselii	Hyaloperonospora sisymbrii-loeselii	Brassicaceae	Sisymbrium loeselii	Sisymbrium loeselii		No	NA	C3		
