"genus"	"specific_epithet"	"name"	"type_host_species_name"	"host_family"	"mycorrhizae"	"photosynthesis"
"66"	"Hyaloperonospora"	"erophilae"	"Hyaloperonospora erophilae"	"Draba verna"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"67"	"Hyaloperonospora"	"erucae"	"Hyaloperonospora erucae"	"Eruca sativa"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"68"	"Hyaloperonospora"	"erucastri"	"Hyaloperonospora erucastri"	"Erucastrum gallicum"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"69"	"Hyaloperonospora"	"erysimi"	"Hyaloperonospora erysimi"	"Erysimum crepidifolium"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"70"	"Hyaloperonospora"	"euclidii"	"Hyaloperonospora euclidii"	"Euclidium syriacum"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"71"	"Hyaloperonospora"	"floerkeae"	"Hyaloperonospora floerkeae"	"Floerkea proserpinacoides"	"Limnanthaceae"	"nonmycorrhizal"	"C3"
"72"	"Hyaloperonospora"	"galligena"	"Hyaloperonospora galligena"	"Alyssum saxatile"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"73"	"Hyaloperonospora"	"gaumanniana"	"Hyaloperonospora gaumanniana"	"Berteroa mutabilis"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"74"	"Hyaloperonospora"	"goldbachiae"	"Hyaloperonospora goldbachiae"	"Goldbachia laevigata"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"75"	"Hyaloperonospora"	"golovinii"	"Hyaloperonospora golovinii"	"Tetracme recurvata"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"76"	"Hyaloperonospora"	"heliophilae"	"Hyaloperonospora heliophilae"	"Heliophila deserticola"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"77"	"Hyaloperonospora"	"hesperidis"	"Hyaloperonospora hesperidis"	"Hesperis matronalis"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"78"	"Hyaloperonospora"	"hornungiae"	"Hyaloperonospora hornungiae"	"Hornungia petraea"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"79"	"Hyaloperonospora"	"hymenolobi"	"Hyaloperonospora hymenolobi"	"Hornungia procumbens"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"80"	"Hyaloperonospora"	"iberidis"	"Hyaloperonospora iberidis"	"Iberis amara"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"81"	"Hyaloperonospora"	"iranica"	"Hyaloperonospora iranica"	"Conringia planisiliqua"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"82"	"Hyaloperonospora"	"isatidis"	"Hyaloperonospora isatidis"	"Isatis tinctoria"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"83"	"Hyaloperonospora"	"jordanovii"	"Hyaloperonospora jordanovii"	"Brassica jordanoffii"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"84"	"Hyaloperonospora"	"lepidii-perfoliati"	"Hyaloperonospora lepidii-perfoliati"	"Lepidium perfoliatum"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"85"	"Hyaloperonospora"	"leptalei"	"Hyaloperonospora leptalei"	"Leptaleum filifolium"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"86"	"Hyaloperonospora"	"litwinowiae"	"Hyaloperonospora litwinowiae"	"Litwinowia tenuissima"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"87"	"Hyaloperonospora"	"lobulariae"	"Hyaloperonospora lobulariae"	"Lobularia maritima"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"88"	"Hyaloperonospora"	"lunariae"	"Hyaloperonospora lunariae"	"Lunaria annua"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"89"	"Hyaloperonospora"	"malcolmiae"	"Hyaloperonospora malcolmiae"	"Malcolmia africana"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"90"	"Hyaloperonospora"	"malyi"	"Hyaloperonospora malyi"	"Cardamine graeca"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"91"	"Hyaloperonospora"	"matthiolae"	"Hyaloperonospora matthiolae"	"Matthiola incana"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"92"	"Hyaloperonospora"	"menioci"	"Hyaloperonospora menioci"	"Alyssum linifolium"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"93"	"Hyaloperonospora"	"myagri"	"Hyaloperonospora myagri"	"Myagrum perfoliatum"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"94"	"Hyaloperonospora"	"nasturtii-aquatici"	"Hyaloperonospora nasturtii-aquatici"	"Nasturtium officinale"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"95"	"Hyaloperonospora"	"nasturtii-montani"	"Hyaloperonospora nasturtii-montani"	"Rorippa indica"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"96"	"Hyaloperonospora"	"nasturtii-palustris"	"Hyaloperonospora nasturtii-palustris"	"Rorippa palustris"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"97"	"Hyaloperonospora"	"nesliae"	"Hyaloperonospora nesliae"	"Neslia paniculata"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"98"	"Hyaloperonospora"	"niessliana"	"Hyaloperonospora niessliana"	"Alliaria petiolata"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"99"	"Hyaloperonospora"	"norvegica"	"Hyaloperonospora norvegica"	"Draba daurica"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"100"	"Hyaloperonospora"	"pachyphragmatis-macrophylli"	"Hyaloperonospora pachyphragmatis-macrophylli"	"Thlaspi macrophyllum"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"101"	"Hyaloperonospora"	"parasitica"	"Hyaloperonospora parasitica"	"Capsella bursa-pastoris"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"102"	"Hyaloperonospora"	"praecox"	"Hyaloperonospora praecox"	"Draba verna"	"Brassicaceae"	"nonmycorrhizal"	"C3"
"103"	"Hyaloperonospora"	"rapistri"	"Hyaloperonospora rapistri"	"Rapistrum rugosum"	"Brassicaceae"	"nonmycorrhizal"	"C3"
